,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
0,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-16,AU,,427.6,427.6,426.56,427.06,424.5,426.1,426.14,6.0,2556920.0,5.0,-1.5,-1.46,-0.00350795,0,0
1,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-17,AU,,426.14,426.1,,,,426.14,426.14,0.0,0.0,5.0,0.0,0.0,0.0,0,0
2,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-18,AU,,426.14,426.14,423.86,426.32,423.68,425.5,424.7,6.0,2548200.0,5.0,-0.64,-1.44,-0.00150185,0,0
3,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-21,AU,,424.7,425.5,426.34,427.26,426.32,426.32,426.64,3.0,1279920.0,4.0,1.62,1.94,0.00381446,0,0
4,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-22,AU,,426.64,426.32,425.1,425.1,406.0,416.28,417.3,28.0,11684580.0,14.0,-10.36,-9.34,-0.02428277,0,0
5,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-23,AU,,417.3,416.28,418.96,418.96,409.16,410.18,415.46,17.0,7063100.0,16.0,-7.12,-1.84,-0.01706207,0,0
6,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-24,AU,,415.46,410.18,410.46,411.72,404.96,405.46,408.2,15.0,6123020.0,23.0,-10.0,-7.26,-0.02406971,0,0
7,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-25,AU,,408.2,405.46,406.82,408.02,403.82,406.7,405.5,32.0,12976420.0,23.0,-1.5,-2.7,-0.00367467,0,0
8,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-28,AU,,405.5,406.7,407.36,409.46,407.36,409.34,408.64,6.0,2451900.0,25.0,3.84,3.14,0.00946979,0,0
9,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-29,AU,,408.64,409.34,409.16,413.1,409.14,413.1,411.18,15.0,6167760.0,25.0,4.46,2.54,0.01091425,0,0
10,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-09-30,AU,,411.18,413.1,415.66,415.9,415.66,415.9,415.78,4.0,1663120.0,23.0,4.72,4.6,0.01147916,0,0
11,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-09,AU,,415.78,415.9,413.6,413.6,413.6,413.6,413.6,1.0,413600.0,24.0,-2.18,-2.18,-0.00524316,0,0
12,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-12,AU,,413.6,413.6,417.34,419.48,417.34,419.18,418.64,8.0,3349260.0,27.0,5.58,5.04,0.0134913,0,0
13,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-13,AU,,418.64,419.18,418.98,419.74,416.66,416.66,418.38,5.0,2091920.0,31.0,-1.98,-0.26,-0.0047296,0,0
14,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-14,AU,,418.38,416.66,412.5,412.7,410.0,412.7,410.88,21.0,8628720.0,28.0,-5.68,-7.5,-0.01357617,0,0
15,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-15,AU,,410.88,412.7,413.92,414.22,410.54,412.38,411.98,11.0,4531920.0,33.0,1.5,1.1,0.0036507,0,0
16,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-16,AU,,411.98,412.38,411.66,414.34,410.84,414.0,412.92,10.0,4129340.0,35.0,2.02,0.94,0.00490315,0,0
17,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-19,AU,,412.92,414.0,412.76,412.76,410.86,411.5,411.7,3.0,1235120.0,36.0,-1.42,-1.22,-0.00343892,0,0
18,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-20,AU,,411.7,411.5,411.0,411.0,411.0,411.0,411.0,1.0,411000.0,35.0,-0.7,-0.7,-0.00170027,0,0
19,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-21,AU,,411.0,411.0,411.7,414.42,411.7,414.42,413.48,6.0,2480940.0,38.0,3.42,2.48,0.00832117,0,0
20,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-22,AU,,413.48,414.42,414.7,416.0,413.8,413.8,414.9,8.0,3319280.0,38.0,0.32,1.42,0.00077392,0,0
21,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-23,AU,,414.9,413.8,410.86,411.16,410.86,411.16,410.96,5.0,2054880.0,36.0,-3.74,-3.94,-0.00901422,0,0
22,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-26,AU,,410.96,411.16,417.199,417.199,408.7,410.02,411.36,12.0,4936360.0,34.0,-0.94,0.4,-0.00228733,0,0
23,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-27,AU,,411.36,410.02,413.8,414.5,411.34,414.2,413.46,4.0,1653840.0,36.0,2.84,2.1,0.00690393,0,0
24,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-28,AU,,413.46,414.2,413.7,415.82,413.7,414.84,414.92,6.0,2489620.0,34.0,1.38,1.46,0.00333769,0,0
25,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-29,AU,,414.92,414.84,408.9,409.34,408.3,408.6,408.72,12.0,4904700.0,33.0,-6.32,-6.2,-0.01523185,0,0
26,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-10-30,AU,,408.72,408.6,404.74,408.82,403.2,406.0,406.18,35.0,14216680.0,37.0,-2.72,-2.54,-0.00665492,0,0
27,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-02,AU,,406.18,406.0,410.14,410.14,407.3,410.0,409.02,18.0,7362560.0,39.0,3.82,2.84,0.0094047,0,0
28,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-03,AU,,409.02,410.0,411.04,412.02,410.0,412.02,411.22,12.0,4934780.0,46.0,3.0,2.2,0.0073346,0,0
29,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-04,AU,,411.22,412.02,412.76,415.0,412.32,413.36,413.74,25.0,10343800.0,57.0,2.14,2.52,0.00520403,0,0
30,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-05,AU,,413.74,413.36,413.22,413.5,409.6,413.5,412.0,7.0,2884000.0,59.0,-0.24,-1.74,-0.00058007,0,0
31,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-06,AU,,412.0,413.5,415.5,419.98,415.34,417.9,417.96,22.0,9195140.0,61.0,5.9,5.96,0.01432039,0,0
32,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-09,AU,,417.96,417.9,419.06,420.24,417.54,417.54,419.1,22.0,9220200.0,65.0,-0.42,1.14,-0.00100488,0,0
33,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-10,AU,,419.1,417.54,411.0,411.0,402.62,406.3,405.4,93.0,37703200.0,86.0,-12.8,-13.7,-0.03054164,0,0
34,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-11,AU,,405.4,406.3,405.34,405.42,404.74,405.24,405.34,18.0,7296280.0,73.0,-0.16,-0.06,-0.00039467,0,0
35,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-12,AU,,405.34,405.24,404.36,404.68,402.799,402.94,403.94,6.0,2423720.0,74.0,-2.4,-1.4,-0.00592096,0,0
36,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-13,AU,,403.94,402.94,406.22,407.02,406.2,407.02,406.42,11.0,4470780.0,69.0,3.08,2.48,0.00762489,0,0
37,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-16,AU,,406.42,407.02,407.54,408.78,407.22,407.22,408.2,5.0,2041020.0,72.0,0.8,1.78,0.00196841,0,0
38,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-17,AU,,408.2,407.22,404.52,406.4,404.52,406.02,405.88,9.0,3653000.0,72.0,-2.18,-2.32,-0.00534052,0,0
39,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-18,AU,,405.88,406.02,406.86,406.86,403.0,403.0,404.08,5.0,2020400.0,73.0,-2.88,-1.8,-0.00709569,0,0
40,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-19,AU,,404.08,403.0,402.5,403.7,401.0,401.3,402.36,15.0,6035500.0,74.0,-2.78,-1.72,-0.00687983,0,0
41,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-20,AU,,402.36,401.3,401.26,401.56,400.5,401.54,401.0,11.0,4411000.0,78.0,-0.82,-1.36,-0.00203798,0,0
42,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-23,AU,,401.0,401.54,401.4,402.72,401.08,401.56,401.7,8.0,3213620.0,77.0,0.56,0.7,0.00139651,0,0
43,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-24,AU,,401.7,401.56,401.0,401.0,390.6,392.2,395.26,50.0,19763300.0,82.0,-9.5,-6.44,-0.02364949,0,0
44,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-25,AU,,395.26,392.2,388.6,389.34,387.1,387.8,388.1,26.0,10091020.0,82.0,-7.46,-7.16,-0.01887365,0,0
45,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-26,AU,,388.1,387.8,389.72,389.76,386.4,387.42,388.48,11.0,4273380.0,86.0,-0.68,0.38,-0.00175213,0,0
46,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-11-27,AU,,388.48,387.42,388.54,388.74,388.4,388.4,388.54,6.0,2331280.0,89.0,-0.08,0.06,-0.00020593,0,0
